Title,Bio,Hits
Taylor Swift,"Taylor Swift partners with Google for a vault song reveal — but it ...
NBC News • 4h ago",1M+
Federal government shutdown,"Norton Introduces Bill to Exempt D.C. Courts, CSOSA, PDS from ...
https://maloney.house.gov • 11h ago",100K+
Barcelona,"Barcelona thrash Royal Antwerp 5-0 with Felix double
Reuters • 5h ago",100K+
Bijou Phillips,"Bijou Phillips files for divorce from Danny Masterson after rape ...
NBC News • 3h ago",50K+
Man City,"Red Star remind City how tough defending UCL title will be - ESPN
ESPN • 3h ago",50K+
Barcelona vs Antwerp,"Watch Champions League Soccer: Livestream Barcelona vs. Royal ...
CNET • 10h ago",50K+
Instacart stock,"Instacart shares end up 12% on debut after initial pop
Reuters • 7h ago",50K+
Vanna White,"Vanna White will continue to serve as 'Wheel of Fortune' co-host ...
CNN • 4h ago",50K+
PSG,"How PSG beat Borussia Dortmund 2-0 in Champions League ...
The Athletic • 6h ago",50K+
Azerbaijan,"Azerbaijan launches operation against Armenian forces in Nagorno ...
CNN • 1h ago",50K+
Lauren Boebert theater,"Lauren Boebert jokes that she has 'peacefully parted' with date after ...
USA TODAY • 10h ago",50K+
Love,"Mapping Love: Study Charts How Love Feels in Our Bodies ...
Neuroscience News • 9h ago",50K+
Psg vs Dortmund,"Mbappe scores as PSG outclass Dortmund
BBC Sport • 5h ago",50K+
Tokyo,"How I Spent A Day At This Viral 'Spirited Away'-Themed Museum
Elite Daily • 6h ago",20K+
New York City,"Prince William Visits FDNY Firehouse to Wrap New York City Trip ...
PEOPLE.com • 3h ago",20K+
Sheep,"Book discussion on sheepherding culture led by Trailing of the ...
Idaho Mountain Express and Guide • 1h ago",20K+
Rihanna,"See Rihanna and A$AP Rocky's Family Photos With Their Newborn ...
Vanity Fair • 10h ago",20K+
Dumb Money,"The Story Behind the Real Amateur Investors Who Inspired <i ...
TIME • 6h ago",20K+
President Trump,"Trump to skip second GOP debate and head to Detroit to court ...
NPR • 11h ago",20K+
Al Nassr,"Red card helps Ronaldo's Al-Nassr win Asian Champions League ...
Reuters • 6h ago",20K+
